n_workers,start_time,end_time,wall_time_s
3,2026-03-31T23:13:36.000000,2026-03-31T23:37:35.000000,1439.0
6,2026-03-31T23:43:43.000000,2026-03-31T23:56:10.000000,747.0
7,2026-04-01T00:02:22.000000,2026-04-01T00:13:06.000000,644.0
9,2026-04-01T00:19:15.000000,2026-04-01T00:27:44.000000,509.0
12,2026-04-01T00:33:57.000000,2026-04-01T00:40:29.000000,392.0
15,2026-04-01T00:46:41.000000,2026-04-01T00:52:06.000000,325.0
20,2026-04-01T00:58:19.000000,2026-04-01T01:02:46.000000,267.0
25,2026-04-01T01:08:58.000000,2026-04-01T01:12:51.000000,233.0
