n_alert_workers,n_enrichment_workers,n_filter_workers,wall_time_s,alerts_per_second,aps_per_alert_worker,aps_per_enrichment_worker,aps_per_filter_worker,filter_batch_mean,filter_batch_p50,filter_full_frac,filter_small_frac_lt500,enrich_enqueue_mean,enrich_enqueue_p50,alert_rate_mean,alert_active_s,enrich_active_s,filter_active_s,tail_idle_s
3,4,1,90.766628,321.06513861019494,107.02171287006497,80.26628465254873,321.06513861019494,766.8947368421053,1000.0,0.6578947368421053,0.23684210526315788,492.9130434782609,679.5,,51.204623,87.011512,95.520156,0.0
3,4,2,87.063983,334.71935231816815,111.57311743938938,83.67983807954204,167.35967615908407,766.8947368421053,1000.0,0.6842105263157895,0.3157894736842105,553.0243902439024,728.0,,48.855339,88.268088,91.856301,0.0
3,6,1,76.634305,380.27356025477104,126.75785341825701,63.37892670912851,380.27356025477104,766.8947368421053,1000.0,0.6842105263157895,0.23684210526315788,371.7049180327869,217.0,,46.228568,63.220173,81.424589,0.0
3,6,2,65.2351,446.7226998962215,148.90756663207384,74.45378331603692,223.36134994811076,607.125,670.5,0.4166666666666667,0.4375,384.3050847457627,276.0,,45.556167,64.647929,70.065981,0.0
3,6,3,63.626104999999995,458.0195503087923,152.6731834362641,76.33659171813206,152.6731834362641,502.44827586206895,414.0,0.27586206896551724,0.5517241379310345,333.44117647058823,186.5,,46.609982,63.285252,68.336474,0.0
3,9,1,76.617967,380.35464971290617,126.78488323763538,42.261627745878464,380.35464971290617,787.6216216216217,1000.0,0.7567567567567568,0.21621621621621623,37.477685950413225,28.0,,45.834477,48.750047,81.413898,0.0
3,9,3,55.208399,527.854466491593,175.95148883053102,58.65049627684367,175.95148883053102,209.6546762589928,161.0,0.007194244604316547,0.9496402877697842,41.68014705882353,32.0,,44.924004,48.898833,49.704296,10.297656
3,10,3,55.275656999999995,527.2121867316747,175.7373955772249,52.72121867316747,175.7373955772249,192.9933774834437,152.0,0.006622516556291391,0.9602649006622517,30.43489932885906,23.0,,43.094829,46.942533,48.548782,11.477644
3,11,3,55.27234,527.243825754437,175.74794191814567,47.931256886767,175.74794191814567,179.88888888888889,116.0,0.006172839506172839,0.9259259259259259,19.580310880829014,14.0,,43.008329,46.430419,48.237228,11.764912
3,12,3,55.210268,527.8365973517824,175.94553245059413,43.98638311264853,175.94553245059413,161.9,115.0,0.0,0.9444444444444444,15.136181575433913,11.0,,43.15429,45.237282,47.472003,12.531874
3,13,2,55.310303999999995,526.8819350549945,175.62731168499818,40.529379619614964,263.44096752749726,747.2307692307693,1000.0,0.6410256410256411,0.2564102564102564,14.135910224438902,10.0,,41.348911,44.387129,52.10172,7.898857
3,19,3,55.332484,526.6707346809154,175.55691156030514,27.719512351627127,175.55691156030514,189.23376623376623,109.5,0.01948051948051948,0.8961038961038961,7.485638824694619,5.0,,41.738372,44.069918,46.851599,13.151228
4,6,1,77.60871399999999,375.4990708904158,93.87476772260395,62.58317848173596,375.4990708904158,766.8947368421053,1000.0,0.631578947368421,0.2631578947368421,427.811320754717,395.0,,35.422277,61.476003,82.324854,0.0
4,7,1,76.805279,379.4270443311585,94.85676108278963,54.20386347587979,379.4270443311585,832.6285714285714,1000.0,0.7428571428571429,0.17142857142857143,384.3050847457627,219.0,,34.695515,58.338616,81.548313,0.0
4,7,2,58.513217999999995,498.0413143573817,124.51032858934542,71.14875919391167,249.02065717869084,647.6,978.0,0.4888888888888889,0.4,397.7894736842105,282.0,,35.163181,59.281478,63.23849,0.0
4,8,2,55.785942999999996,522.3896636469873,130.59741591174682,65.29870795587341,261.19483182349364,662.3181818181819,969.5,0.4772727272727273,0.38636363636363635,354.28125,202.5,,35.069407,54.236652,60.626736,0.0
4,8,3,55.263946999999995,527.3238988883658,131.83097472209144,65.91548736104572,175.7746329627886,582.84,542.5,0.4,0.48,314.9166666666667,132.0,,34.587913,52.981118,57.700064,2.302907
4,9,3,55.227874,527.6683292208569,131.91708230521422,58.62981435787299,175.88944307361896,539.6666666666666,439.5,0.35185185185185186,0.5555555555555556,269.92857142857144,105.5,,34.625305,49.698974,55.423969,4.578876
4,10,3,55.165914,528.2609837661713,132.06524594154283,52.82609837661713,176.08699458872377,462.57142857142856,412.0,0.1746031746031746,0.5555555555555556,202.44642857142858,121.5,,35.391419,48.850345,53.464585,6.537855
4,10,4,55.183876,528.0890381820951,132.02225954552378,52.808903818209515,132.02225954552378,422.3478260869565,359.0,0.17391304347826086,0.6811594202898551,195.4655172413793,105.0,,34.70529,49.486111,54.193358,5.809354
4,10,5,55.293364,527.04335370154,131.760838425385,52.704335370154,105.408670740308,404.75,308.5,0.1527777777777778,0.6666666666666666,193.7948717948718,67.0,,34.333967,47.764136,52.338224,7.666246
4,11,3,55.31877,526.8013008966035,131.70032522415087,47.891027354236684,175.60043363220117,441.54545454545456,369.0,0.18181818181818182,0.5606060606060606,139.1042944785276,81.0,,34.510759,43.523408,46.730328,13.272531
4,12,2,55.298578,526.9936597646326,131.74841494115816,43.91613831371939,263.4968298823163,693.8571428571429,1000.0,0.6428571428571429,0.35714285714285715,76.08724832214764,51.5,,34.586502,40.055796,52.120851,7.8805
4,12,3,36.514477,798.0944106087019,199.52360265217547,66.50786755072515,266.0314702029006,560.4230769230769,536.5,0.36538461538461536,0.5,75.58,49.5,,34.222786,38.995625,41.19311,0.0
4,13,3,36.503150999999995,798.3420390201384,199.5855097550346,61.41092607847218,266.1140130067128,607.125,1000.0,0.5208333333333334,0.4375,36.2784,26.0,,35.536,37.900234,41.210207,0.0
4,13,4,35.090328,830.4852550822552,207.6213137705638,63.883481160173474,207.6213137705638,264.92727272727274,132.0,0.07272727272727272,0.8181818181818182,38.758974358974356,28.0,,35.258734,38.914652,39.906554,0.0
4,14,4,33.760204,863.2056844206272,215.8014211051568,61.65754888718766,215.8014211051568,249.07692307692307,145.0,0.06837606837606838,0.8461538461538461,26.488317757009344,19.0,,34.582386,37.138698,38.493028,0.0
4,15,4,34.617293,841.8335887788801,210.45839719472002,56.122239251925336,210.45839719472002,338.86046511627904,197.0,0.1511627906976744,0.7325581395348837,22.651348651348652,16.0,,34.68369,36.760987,39.471769,0.0
5,5,1,83.29805999999999,349.8520853907042,69.97041707814084,69.97041707814084,349.8520853907042,809.5,1000.0,0.75,0.25,527.3023255813954,736.0,,26.597414,75.48887,88.165272,0.0
5,6,2,65.213797,446.8686281217455,89.37372562434909,74.47810468695758,223.43431406087274,766.8947368421053,1000.0,0.631578947368421,0.2631578947368421,503.8666666666667,701.0,,28.095627,65.81161,69.960912,0.0
5,8,1,75.578197,385.58739367651225,77.11747873530246,48.19842420956403,385.58739367651225,787.6216216216217,1000.0,0.6756756756756757,0.21621621621621623,348.83076923076925,144.0,,28.909371,51.91851,80.315073,0.0
5,8,2,55.273551999999995,527.2322647185765,105.4464529437153,65.90403308982206,263.61613235928826,560.4230769230769,510.0,0.4230769230769231,0.5,404.89285714285717,303.0,,27.65323,55.345149,58.871921,1.130496
5,8,3,55.181315999999995,528.1135375604308,105.62270751208617,66.01419219505385,176.03784585347694,594.734693877551,596.0,0.46938775510204084,0.46938775510204084,377.9,233.0,,28.701021,52.211759,54.922192,5.08038
5,9,4,55.151270999999994,528.4012402905456,105.68024805810913,58.71124892117174,132.1003100726364,620.0425531914893,751.0,0.48936170212765956,0.44680851063829785,404.89285714285717,279.5,,27.404789,52.213831,55.28816,4.715182
5,10,2,55.170120999999995,528.2207012016523,105.64414024033047,52.822070120165236,264.11035060082617,677.7209302325581,949.0,0.4883720930232558,0.3488372093023256,302.32,124.0,,28.539698,46.932966,53.306858,6.694789
5,10,3,55.209109999999995,527.8476686184581,105.56953372369162,52.78476686184581,175.94922287281938,607.125,694.0,0.3958333333333333,0.4583333333333333,343.54545454545456,169.5,,28.901761,48.436302,50.695736,9.306904
